text,prob,verdict
"Bank of Naira security alert Ngozi, important security notice for your Bank of Naira — click https://naira-bank.ng/secure/login?id=2737 to resolve.",0.9459719976938206,PHISH
"Action Required: Bank of Naira Dear Olu, we detected unusual activity on your Bank of Naira account. Verify: http://payfast-ng.verify-account.ng/657",0.9401799685544046,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
"Payment issue on UniPortal Chinedu, important security notice for your UniPortal — click https://naira-bank.ng/secure/login?id=6390 to resolve.",0.9501147881516734,PHISH
Payment issue on PayFastNG Congratulations Mary! You won a prize. Claim now: http://naira-bank-ng.verify-account.ng/130,0.945156865142116,PHISH
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
Reminder Can you review the attached doc and approve?,0.0259775791496697,OK
"Lunch plan Hey Ngozi, are we still on for tomorrow at 6pm?",0.027179471756950135,OK
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
Action Required: AzumiPay Congratulations Chinedu! You won a prize. Claim now: http://azumi-io.verify-account.ng/257,0.9435014530996932,PHISH
Project update Lunch on campus? I'm free after 2pm.,0.027673783425105493,OK
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
"AzumiPay security alert Aisha, important security notice for your AzumiPay — click http://unimmu-edu-ng.verify-account.ng/183 to resolve.",0.9467614472074767,PHISH
AzumiPay security alert Congratulations Chinedu! You won a prize. Claim now: https://unimmu.edu.ng/secure/login?id=6456,0.9499511365981397,PHISH
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
AzumiPay security alert Your AzumiPay payment failed. Update billing: http://giga-mail-com.verify-account.ng/532,0.956364167800972,PHISH
Project update Lunch on campus? I'm free after 2pm.,0.027673783425105493,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
Payment issue on PayFastNG Congratulations Emeka! You won a prize. Claim now: http://giga-mail-com.verify-account.ng/800,0.944803533957582,PHISH
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
"Lunch plan Hey Fatima, are we still on for tomorrow at 6pm?",0.02775786042266229,OK
"Action Required: AzumiPay Dear Ngozi, we detected unusual activity on your AzumiPay account. Verify: https://azumi.io/secure/login?id=7144",0.9386261974498585,PHISH
"Payment issue on PayFastNG Mary, important security notice for your PayFastNG — click https://unimmu.edu.ng/secure/login?id=6784 to resolve.",0.948510411535182,PHISH
Payment issue on UniPortal Your UniPortal payment failed. Update billing: http://payfast-ng.verify-account.ng/698,0.9408835768112913,PHISH
UniPortal security alert Your UniPortal payment failed. Update billing: https://naira-bank.ng/secure/login?id=4569,0.9530276722747303,PHISH
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
AzumiPay security alert Congratulations Chinedu! You won a prize. Claim now: https://payfast.ng/secure/login?id=1908,0.9499511365981397,PHISH
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
"Meeting notes Hey Ngozi, are we still on for tomorrow at 6pm?",0.02601539131959456,OK
"GigaMail security alert Dear Ngozi, we detected unusual activity on your GigaMail account. Verify: https://naira-bank.ng/secure/login?id=6636",0.9420074101898721,PHISH
"Payment issue on GigaMail Dear Chinedu, we detected unusual activity on your GigaMail account. Verify: https://giga-mail.com/secure/login?id=9302",0.9393821712794248,PHISH
"Meeting notes Hey Olu, are we still on for tomorrow at 6pm?",0.02555165445086187,OK
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
"Payment issue on AzumiPay Dear Chinedu, we detected unusual activity on your AzumiPay account. Verify: https://giga-mail.com/secure/login?id=6376",0.9408938265022365,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
Reminder Can you review the attached doc and approve?,0.0259775791496697,OK
"Meeting notes Hey Ngozi, are we still on for tomorrow at 6pm?",0.02601539131959456,OK
Payment issue on AzumiPay Your AzumiPay payment failed. Update billing: https://unimmu.edu.ng/secure/login?id=6661,0.9444517717047664,PHISH
"Project update Hey Olu, are we still on for tomorrow at 6pm?",0.03579757666709367,OK
"Action Required: PayFastNG Fatima, important security notice for your PayFastNG — click https://giga-mail.com/secure/login?id=1999 to resolve.",0.9432569887881583,PHISH
"Lunch plan Hey Chinedu, are we still on for tomorrow at 6pm?",0.02854957084522941,OK
"PayFastNG security alert Fatima, important security notice for your PayFastNG — click https://giga-mail.com/secure/login?id=3247 to resolve.",0.9412105552610829,PHISH
"UniPortal security alert John, important security notice for your UniPortal — click https://naira-bank.ng/secure/login?id=1870 to resolve.",0.9440369774274413,PHISH
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
Lunch plan Lunch on campus? I'm free after 2pm.,0.02515641101832308,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
Lunch plan Lunch on campus? I'm free after 2pm.,0.02515641101832308,OK
"Reminder Hey Olu, are we still on for tomorrow at 6pm?",0.03640282318786466,OK
"Lunch plan Hey Aisha, are we still on for tomorrow at 6pm?",0.027759016855580097,OK
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
Payment issue on Bank of Naira Your Bank of Naira payment failed. Update billing: https://azumi.io/secure/login?id=5699,0.9394027796530136,PHISH
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
"Project update Hey Olu, are we still on for tomorrow at 6pm?",0.03579757666709367,OK
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
Action Required: UniPortal Congratulations Ngozi! You won a prize. Claim now: http://giga-mail-com.verify-account.ng/173,0.9397248541379686,PHISH
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
Action Required: UniPortal Your UniPortal payment failed. Update billing: http://payfast-ng.verify-account.ng/830,0.9472403946304631,PHISH
"Action Required: GigaMail Dear Ngozi, we detected unusual activity on your GigaMail account. Verify: http://unimmu-edu-ng.verify-account.ng/637",0.9370368621647541,PHISH
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
"Payment issue on PayFastNG Chinedu, important security notice for your PayFastNG — click https://unimmu.edu.ng/secure/login?id=4549 to resolve.",0.9486264961879376,PHISH
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
Payment issue on Bank of Naira Congratulations Olu! You won a prize. Claim now: http://azumi-io.verify-account.ng/875,0.9529562097835417,PHISH
Payment issue on GigaMail Your GigaMail payment failed. Update billing: http://payfast-ng.verify-account.ng/448,0.9422240158217484,PHISH
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
Project update Lunch on campus? I'm free after 2pm.,0.027673783425105493,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
"Payment issue on UniPortal Mary, important security notice for your UniPortal — click http://naira-bank-ng.verify-account.ng/201 to resolve.",0.9500093861348392,PHISH
"Payment issue on PayFastNG Dear John, we detected unusual activity on your PayFastNG account. Verify: http://unimmu-edu-ng.verify-account.ng/515",0.9351415782182609,PHISH
PayFastNG security alert Your PayFastNG payment failed. Update billing: https://payfast.ng/secure/login?id=4701,0.9508598185325208,PHISH
Lunch plan Lunch on campus? I'm free after 2pm.,0.02515641101832308,OK
Payment issue on UniPortal Congratulations Chinedu! You won a prize. Claim now: http://giga-mail-com.verify-account.ng/183,0.9457503662843113,PHISH
"AzumiPay security alert Aisha, important security notice for your AzumiPay — click https://payfast.ng/secure/login?id=5745 to resolve.",0.9467614472074767,PHISH
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
"Action Required: UniPortal Dear Aisha, we detected unusual activity on your UniPortal account. Verify: http://azumi-io.verify-account.ng/169",0.9360987024300601,PHISH
"PayFastNG security alert Mary, important security notice for your PayFastNG — click https://payfast.ng/secure/login?id=9955 to resolve.",0.9436441160328277,PHISH
"UniPortal security alert Dear Emeka, we detected unusual activity on your UniPortal account. Verify: http://payfast-ng.verify-account.ng/767",0.9422247109946825,PHISH
Bank of Naira security alert Your Bank of Naira payment failed. Update billing: http://unimmu-edu-ng.verify-account.ng/403,0.9460919168947791,PHISH
"Payment issue on AzumiPay Dear Aisha, we detected unusual activity on your AzumiPay account. Verify: https://payfast.ng/secure/login?id=7171",0.9395931316754842,PHISH
Reminder Can you review the attached doc and approve?,0.0259775791496697,OK
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
"Payment issue on AzumiPay Emeka, important security notice for your AzumiPay — click https://unimmu.edu.ng/secure/login?id=6443 to resolve.",0.9525058143675358,PHISH
"Reminder Hey John, are we still on for tomorrow at 6pm?",0.03889133797810382,OK
"Project update Hey Aisha, are we still on for tomorrow at 6pm?",0.03709505247424738,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
"Payment issue on GigaMail Fatima, important security notice for your GigaMail — click http://naira-bank-ng.verify-account.ng/953 to resolve.",0.9487930603828745,PHISH
"Project update Hey Chinedu, are we still on for tomorrow at 6pm?",0.03814278941886421,OK
"Payment issue on GigaMail Dear Chinedu, we detected unusual activity on your GigaMail account. Verify: https://naira-bank.ng/secure/login?id=3814",0.9393821712794248,PHISH
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Lunch plan Lunch on campus? I'm free after 2pm.,0.02515641101832308,OK
"Payment issue on GigaMail John, important security notice for your GigaMail — click https://payfast.ng/secure/login?id=3626 to resolve.",0.950036829956672,PHISH
AzumiPay security alert Your AzumiPay payment failed. Update billing: http://payfast-ng.verify-account.ng/211,0.956364167800972,PHISH
Lunch plan Lunch on campus? I'm free after 2pm.,0.02515641101832308,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
Project update Lunch on campus? I'm free after 2pm.,0.027673783425105493,OK
"Payment issue on UniPortal Chinedu, important security notice for your UniPortal — click https://azumi.io/secure/login?id=1541 to resolve.",0.9501147881516734,PHISH
Payment issue on UniPortal Congratulations Emeka! You won a prize. Claim now: http://unimmu-edu-ng.verify-account.ng/918,0.9453681327138125,PHISH
"Lunch plan Hey Chinedu, are we still on for tomorrow at 6pm?",0.02854957084522941,OK
"Meeting notes Hey Ngozi, are we still on for tomorrow at 6pm?",0.02601539131959456,OK
"Reminder Hey Emeka, are we still on for tomorrow at 6pm?",0.03936575172516124,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
PayFastNG security alert Congratulations Mary! You won a prize. Claim now: https://giga-mail.com/secure/login?id=2913,0.9479696863020449,PHISH
"Payment issue on GigaMail Aisha, important security notice for your GigaMail — click https://naira-bank.ng/secure/login?id=8076 to resolve.",0.9500630419510834,PHISH
Action Required: Bank of Naira Your Bank of Naira payment failed. Update billing: https://unimmu.edu.ng/secure/login?id=9537,0.9421373116280297,PHISH
"Meeting notes Hey Aisha, are we still on for tomorrow at 6pm?",0.02658582841352085,OK
"Meeting notes Hey Olu, are we still on for tomorrow at 6pm?",0.02555165445086187,OK
"Bank of Naira security alert John, important security notice for your Bank of Naira — click https://naira-bank.ng/secure/login?id=4436 to resolve.",0.946403811790211,PHISH
"Lunch plan Hey John, are we still on for tomorrow at 6pm?",0.028593545876669235,OK
Payment issue on AzumiPay Congratulations Mary! You won a prize. Claim now: https://unimmu.edu.ng/secure/login?id=6387,0.947179954074386,PHISH
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
"Project update Hey Fatima, are we still on for tomorrow at 6pm?",0.03701807427056819,OK
Action Required: GigaMail Your GigaMail payment failed. Update billing: https://giga-mail.com/secure/login?id=3712,0.94838210547528,PHISH
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
Action Required: GigaMail Your GigaMail payment failed. Update billing: https://giga-mail.com/secure/login?id=4394,0.94838210547528,PHISH
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
"Lunch plan Hey Mary, are we still on for tomorrow at 6pm?",0.027622765991407307,OK
GigaMail security alert Your GigaMail payment failed. Update billing: https://payfast.ng/secure/login?id=9423,0.9539930506285627,PHISH
AzumiPay security alert Your AzumiPay payment failed. Update billing: http://azumi-io.verify-account.ng/674,0.956364167800972,PHISH
"Bank of Naira security alert Dear Ngozi, we detected unusual activity on your Bank of Naira account. Verify: http://unimmu-edu-ng.verify-account.ng/434",0.9435009700706538,PHISH
"Reminder Hey Emeka, are we still on for tomorrow at 6pm?",0.03936575172516124,OK
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
UniPortal security alert Congratulations John! You won a prize. Claim now: https://payfast.ng/secure/login?id=9955,0.9468338924572619,PHISH
"Action Required: GigaMail Dear Mary, we detected unusual activity on your GigaMail account. Verify: https://naira-bank.ng/secure/login?id=2421",0.9387142669510758,PHISH
"Payment issue on PayFastNG Dear Emeka, we detected unusual activity on your PayFastNG account. Verify: http://giga-mail-com.verify-account.ng/339",0.9362426386797128,PHISH
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
"Reminder Hey Emeka, are we still on for tomorrow at 6pm?",0.03936575172516124,OK
"GigaMail security alert Dear Olu, we detected unusual activity on your GigaMail account. Verify: http://payfast-ng.verify-account.ng/558",0.9423086114112056,PHISH
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
"Lunch plan Hey Mary, are we still on for tomorrow at 6pm?",0.027622765991407307,OK
Action Required: GigaMail Congratulations Mary! You won a prize. Claim now: http://azumi-io.verify-account.ng/531,0.9430059076573097,PHISH
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
AzumiPay security alert Your AzumiPay payment failed. Update billing: https://azumi.io/secure/login?id=1672,0.956364167800972,PHISH
Action Required: GigaMail Your GigaMail payment failed. Update billing: https://naira-bank.ng/secure/login?id=2127,0.94838210547528,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
"Action Required: GigaMail Aisha, important security notice for your GigaMail — click http://azumi-io.verify-account.ng/341 to resolve.",0.9473549408227816,PHISH
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Action Required: AzumiPay Congratulations Aisha! You won a prize. Claim now: https://azumi.io/secure/login?id=9714,0.9418569509239543,PHISH
Action Required: AzumiPay Congratulations Mary! You won a prize. Claim now: https://payfast.ng/secure/login?id=9395,0.9434689049858451,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
Payment issue on AzumiPay Your AzumiPay payment failed. Update billing: https://unimmu.edu.ng/secure/login?id=2380,0.9444517717047664,PHISH
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
Reminder Can you review the attached doc and approve?,0.0259775791496697,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
UniPortal security alert Your UniPortal payment failed. Update billing: http://payfast-ng.verify-account.ng/277,0.9530276722747303,PHISH
"Bank of Naira security alert Emeka, important security notice for your Bank of Naira — click https://azumi.io/secure/login?id=3491 to resolve.",0.9471196409915437,PHISH
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
"Project update Hey Aisha, are we still on for tomorrow at 6pm?",0.03709505247424738,OK
"Meeting notes Hey Emeka, are we still on for tomorrow at 6pm?",0.027725160054051234,OK
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Project update Lunch on campus? I'm free after 2pm.,0.027673783425105493,OK
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
"Payment issue on UniPortal Fatima, important security notice for your UniPortal — click http://unimmu-edu-ng.verify-account.ng/258 to resolve.",0.9476507580902983,PHISH
"Lunch plan Hey John, are we still on for tomorrow at 6pm?",0.028593545876669235,OK
Reminder Can you review the attached doc and approve?,0.0259775791496697,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
"Meeting notes Hey Fatima, are we still on for tomorrow at 6pm?",0.026603085352872258,OK
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
Payment issue on PayFastNG Your PayFastNG payment failed. Update billing: https://unimmu.edu.ng/secure/login?id=2202,0.9387750744930031,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
"Meeting notes Hey Chinedu, are we still on for tomorrow at 6pm?",0.027355483529709155,OK
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
"Meeting notes Hey Olu, are we still on for tomorrow at 6pm?",0.02555165445086187,OK
Reminder Can you review the attached doc and approve?,0.0259775791496697,OK
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
Action Required: GigaMail Your GigaMail payment failed. Update billing: http://unimmu-edu-ng.verify-account.ng/354,0.94838210547528,PHISH
Payment issue on UniPortal Congratulations Aisha! You won a prize. Claim now: http://azumi-io.verify-account.ng/985,0.9441667968464317,PHISH
"Reminder Hey Fatima, are we still on for tomorrow at 6pm?",0.03772842604945261,OK
"Lunch plan Hey Mary, are we still on for tomorrow at 6pm?",0.027622765991407307,OK
"Payment issue on AzumiPay Emeka, important security notice for your AzumiPay — click https://payfast.ng/secure/login?id=2941 to resolve.",0.9525058143675358,PHISH
"AzumiPay security alert Aisha, important security notice for your AzumiPay — click http://payfast-ng.verify-account.ng/847 to resolve.",0.9467614472074767,PHISH
Bank of Naira security alert Your Bank of Naira payment failed. Update billing: https://unimmu.edu.ng/secure/login?id=1147,0.9460919168947791,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Lunch plan Lunch on campus? I'm free after 2pm.,0.02515641101832308,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
"Lunch plan Hey Fatima, are we still on for tomorrow at 6pm?",0.02775786042266229,OK
Project update Lunch on campus? I'm free after 2pm.,0.027673783425105493,OK
Action Required: AzumiPay Your AzumiPay payment failed. Update billing: https://naira-bank.ng/secure/login?id=3483,0.9508063700540682,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
"Meeting notes Hey Chinedu, are we still on for tomorrow at 6pm?",0.027355483529709155,OK
Project update Lunch on campus? I'm free after 2pm.,0.027673783425105493,OK
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
UniPortal security alert Your UniPortal payment failed. Update billing: https://giga-mail.com/secure/login?id=8281,0.9530276722747303,PHISH
"Payment issue on PayFastNG Mary, important security notice for your PayFastNG — click http://azumi-io.verify-account.ng/324 to resolve.",0.948510411535182,PHISH
Action Required: GigaMail Congratulations Chinedu! You won a prize. Claim now: http://unimmu-edu-ng.verify-account.ng/214,0.9430446270828492,PHISH
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
Lunch plan Lunch on campus? I'm free after 2pm.,0.02515641101832308,OK
"AzumiPay security alert Ngozi, important security notice for your AzumiPay — click https://naira-bank.ng/secure/login?id=7113 to resolve.",0.946324891359162,PHISH
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
"Payment issue on GigaMail Dear Aisha, we detected unusual activity on your GigaMail account. Verify: http://azumi-io.verify-account.ng/540",0.9380702696872302,PHISH
"Reminder Hey Mary, are we still on for tomorrow at 6pm?",0.03765693099074608,OK
"Reminder Hey Chinedu, are we still on for tomorrow at 6pm?",0.03888999736697563,OK
Payment issue on UniPortal Your UniPortal payment failed. Update billing: http://unimmu-edu-ng.verify-account.ng/423,0.9408835768112913,PHISH
"Payment issue on GigaMail John, important security notice for your GigaMail — click https://giga-mail.com/secure/login?id=6102 to resolve.",0.950036829956672,PHISH
Lunch plan Lunch on campus? I'm free after 2pm.,0.02515641101832308,OK
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
"Bank of Naira security alert Aisha, important security notice for your Bank of Naira — click http://unimmu-edu-ng.verify-account.ng/120 to resolve.",0.9463359574048402,PHISH
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
"Action Required: UniPortal Dear John, we detected unusual activity on your UniPortal account. Verify: http://azumi-io.verify-account.ng/961",0.9361222372219997,PHISH
AzumiPay security alert Congratulations Mary! You won a prize. Claim now: http://giga-mail-com.verify-account.ng/818,0.9499609640706757,PHISH
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
"Reminder Hey Chinedu, are we still on for tomorrow at 6pm?",0.03888999736697563,OK
PayFastNG security alert Your PayFastNG payment failed. Update billing: http://payfast-ng.verify-account.ng/229,0.9508598185325208,PHISH
Payment issue on AzumiPay Congratulations Ngozi! You won a prize. Claim now: http://azumi-io.verify-account.ng/684,0.9451177955329746,PHISH
Project update Lunch on campus? I'm free after 2pm.,0.027673783425105493,OK
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
"Lunch plan Hey Fatima, are we still on for tomorrow at 6pm?",0.02775786042266229,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
"Action Required: PayFastNG Dear Ngozi, we detected unusual activity on your PayFastNG account. Verify: https://naira-bank.ng/secure/login?id=9767",0.9339755634144685,PHISH
Reminder Can you review the attached doc and approve?,0.0259775791496697,OK
Payment issue on UniPortal Your UniPortal payment failed. Update billing: http://naira-bank-ng.verify-account.ng/406,0.9408835768112913,PHISH
"Lunch plan Hey Fatima, are we still on for tomorrow at 6pm?",0.02775786042266229,OK
Lunch plan Lunch on campus? I'm free after 2pm.,0.02515641101832308,OK
"Payment issue on UniPortal Ngozi, important security notice for your UniPortal — click http://naira-bank-ng.verify-account.ng/979 to resolve.",0.9485301784822734,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
"Action Required: Bank of Naira Dear Aisha, we detected unusual activity on your Bank of Naira account. Verify: http://naira-bank-ng.verify-account.ng/627",0.940411814397906,PHISH
Meeting notes Meeting notes attached. See you in the seminar.,0.023000206335312984,OK
"Reminder Hey Olu, are we still on for tomorrow at 6pm?",0.03640282318786466,OK
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
Action Required: Bank of Naira Your Bank of Naira payment failed. Update billing: https://azumi.io/secure/login?id=5947,0.9421373116280297,PHISH
"Lunch plan Hey Aisha, are we still on for tomorrow at 6pm?",0.027759016855580097,OK
"Lunch plan Hey Aisha, are we still on for tomorrow at 6pm?",0.027759016855580097,OK
"Action Required: Bank of Naira Olu, important security notice for your Bank of Naira — click https://payfast.ng/secure/login?id=8265 to resolve.",0.9469290025231133,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
"Meeting notes Hey Aisha, are we still on for tomorrow at 6pm?",0.02658582841352085,OK
"PayFastNG security alert Dear Olu, we detected unusual activity on your PayFastNG account. Verify: http://naira-bank-ng.verify-account.ng/926",0.9394199433928763,PHISH
"Payment issue on AzumiPay Ngozi, important security notice for your AzumiPay — click http://naira-bank-ng.verify-account.ng/390 to resolve.",0.9512129082312618,PHISH
"Action Required: UniPortal Dear Ngozi, we detected unusual activity on your UniPortal account. Verify: https://azumi.io/secure/login?id=5570",0.9355734436967109,PHISH
